자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리,나이
SPB-13900,2020-12-09 9:16,103,망원역 2번출구 앞,6,2020-12-09 9:23,101,(구)합정동 주민센터,2,6,1060,47
SPB-14571,2020-12-09 9:09,438,성산2-1 공영주차장,2,2020-12-09 9:27,101,(구)합정동 주민센터,5,17,,37
SPB-14571,2020-12-09 9:52,104,합정역 1번출구 앞,2,2020-12-09 9:57,101,(구)합정동 주민센터,1,5,1130,32
SPB-13900,2020-12-09 9:43,101,(구)합정동 주민센터,2,2020-12-09 10:27,101,(구)합정동 주민센터,1,43,4810,23
SPB-02659,2020-12-09 11:44,113,홍대입구역 2번출구 앞,25,2020-12-09 11:57,101,(구)합정동 주민센터,1,12,1770,21
SPB-14784,2020-12-09 13:02,152,마포구민체육센터 앞,21,2020-12-09 13:19,101,(구)합정동 주민센터,5,17,1790,27
SPB-06274,2020-12-09 12:54,102,망원역 1번출구 앞,15,2020-12-09 13:26,101,(구)합정동 주민센터,4,32,2440,40
SPB-20864,2020-12-09 13:18,111,상수역 2번출구 앞,10,2020-12-09 13:36,101,(구)합정동 주민센터,1,,3680,41
SPB-14919,2020-12-09 12:53,181,망원초록길 입구,6,2020-12-09 13:46,101,(구)합정동 주민센터,1,52,3780,60
SPB-05318,2020-12-09 13:35,427,성산시영아파트,,2020-12-09 13:51,101,(구)합정동 주민센터,3,15,3210,33
SPB-06770,2020-12-09 13:32,125,서강대 남문 옆,6,2020-12-09 13:53,101,(구)합정동 주민센터,1,21,3570,31
SPB-12842,2020-12-09 15:30,113,홍대입구역 2번출구 앞,22,2020-12-09 15:50,101,(구)합정동 주민센터,4,18,1860,25
SPB-12842,2020-12-09 15:56,101,(구)합정동 주민센터,4,2020-12-09 16:03,101,(구)합정동 주민센터,2,6,700,21
SPB-03622,2020-12-09 16:35,152,마포구민체육센터 앞,6,2020-12-09 16:43,101,(구)합정동 주민센터,4,7,1160,40
SPB-18327,2020-12-09 16:49,196,연희교차로 인근,8,2020-12-09 17:13,101,(구)합정동 주민센터,5,22,4140,36
SPB-14886,2020-12-09 18:07,104,합정역 1번출구 앞,2,2020-12-09 18:16,101,(구)합정동 주민센터,3,8,1080,40
SPB-21192,2020-12-09 17:54,203,국회의사당역 3번출구 옆,2,2020-12-09 18:18,101,(구)합정동 주민센터,2,22,3940,42
SPB-20543,2020-12-09 18:07,409,누리꿈스퀘어 옆,4,2020-12-09 18:32,101,(구)합정동 주민센터,2,24,4220,29
SPB-20995,2020-12-09 18:13,148,용강동 주민센터 앞,,2020-12-09 18:41,101,(구)합정동 주민센터,1,27,4560,21
SPB-23690,2020-12-09 18:41,247,당산역 10번출구 앞,9,2020-12-09 18:59,101,(구)합정동 주민센터,5,17,2930,23
SPB-25430,2020-12-09 18:14,224,롯데캐슬 앞,17,2020-12-09 19:06,101,(구)합정동 주민센터,4,49,7260,26
SPB-05808,2020-12-09 19:11,410,상암중학교 옆,3,2020-12-09 19:32,101,(구)합정동 주민센터,2,20,5500,29
SPB-11531,2020-12-09 19:41,104,합정역 1번출구 앞,8,2020-12-09 19:50,101,(구)합정동 주민센터,1,9,1090,21
SPB-11062,2020-12-09 20:20,129,신촌역(2호선) 6번출구 옆,9,2020-12-09 20:51,101,(구)합정동 주민센터,1,30,3170,28
SPB-03991,2020-12-09 20:34,111,상수역 2번출구 앞,9,2020-12-09 21:03,101,(구)합정동 주민센터,2,28,3980,32
